,Sample,Allele_frequency,Group
318,HG01105,0.028846,High
319,HG01107,0.038462,High
320,HG01108,0.004808,High
321,HG01112,0.033654,High
322,HG01113,0.033654,High
323,HG01124,0.076923,High
324,HG01125,0.014423,High
325,HG01133,0.033654,High
326,HG01134,0.038462,High
327,HG01136,0.067308,High
328,HG01137,0.004808,High
329,HG01140,0.014423,High
330,HG01148,0.038462,High
331,HG01149,0.024038,High
332,HG01167,0.057692,High
333,HG01168,0.014423,High
334,HG01170,0.004808,High
335,HG01171,0.052885,High
336,HG01173,0.004808,High
337,HG01174,0.033654,High
338,HG01176,0.076923,High
339,HG01183,0.033654,High
340,HG01187,0.004808,High
341,HG01188,0.033654,High
342,HG01190,0.033654,High
343,HG01191,0.009615,High
344,HG01197,0.057692,High
345,HG01198,0.043269,High
346,HG01204,0.057692,High
347,HG01250,0.057692,High
348,HG01251,0.038462,High
349,HG01257,0.038462,High
350,HG01259,0.072115,High
351,HG01271,0.076923,High
352,HG01272,0.004808,High
353,HG01274,0.076923,High
354,HG01275,0.067308,High
355,HG01277,0.038462,High
356,HG01278,0.076923,High
357,HG01334,0.014423,High
358,HG01342,0.048077,High
359,HG01344,0.004808,High
360,HG01345,0.033654,High
361,HG01350,0.004808,High
362,HG01351,0.0,High
363,HG01353,0.0625,High
364,HG01354,0.028846,High
365,HG01356,0.048077,High
366,HG01357,0.0625,High
367,HG01359,0.043269,High
368,HG01360,0.028846,High
369,HG01365,0.048077,High
370,HG01366,0.033654,High
371,HG01374,0.033654,High
372,HG01375,0.028846,High
373,HG01377,0.009615,High
374,HG01378,0.033654,High
375,HG01383,0.014423,High
376,HG01384,0.076923,High
377,HG01389,0.019231,High
378,HG01390,0.043269,High
379,HG01437,0.0625,High
380,HG01440,0.009615,High
381,HG01441,0.038462,High
382,HG01455,0.067308,High
383,HG01456,0.033654,High
384,HG01461,0.048077,High
385,HG01462,0.004808,High
386,HG01465,0.014423,High
387,HG01488,0.043269,High
388,HG01489,0.028846,High
389,HG01491,0.043269,High
390,HG01492,0.009615,High
391,HG01494,0.014423,High
392,HG01495,0.033654,High
393,HG01497,0.072115,High
394,HG01498,0.028846,High
395,HG01515,0.0625,High
396,HG01516,0.014423,High
397,HG01518,0.067308,High
398,HG01519,0.067308,High
399,HG01521,0.072115,High
400,HG01522,0.0625,High
401,HG01550,0.067308,High
402,HG01551,0.038462,High
403,HG01617,0.076923,High
404,HG01618,0.009615,High
405,HG01619,0.052885,High
406,HG01620,0.0625,High
407,HG01623,0.067308,High
408,HG01624,0.043269,High
409,HG01625,0.028846,High
410,HG01626,0.067308,High
411,NA06984,0.072115,High
412,NA06986,0.028846,High
413,NA06989,0.0625,High
414,NA06994,0.033654,High
415,NA07000,0.052885,High
416,NA07037,0.038462,High
417,NA07048,0.028846,High
418,NA07051,0.024038,High
419,NA07056,0.019231,High
420,NA07347,0.072115,High
421,NA07357,0.067308,High
422,NA10847,0.019231,High
423,NA10851,0.0625,High
424,NA11829,0.067308,High
425,NA11830,0.048077,High
426,NA11831,0.038462,High
427,NA11843,0.033654,High
428,NA11892,0.067308,High
429,NA11893,0.024038,High
430,NA11894,0.043269,High
431,NA11919,0.057692,High
432,NA11920,0.0625,High
433,NA11930,0.043269,High
434,NA11931,0.072115,High
435,NA11932,0.043269,High
436,NA11933,0.024038,High
437,NA11992,0.014423,High
438,NA11993,0.057692,High
439,NA11994,0.057692,High
440,NA11995,0.033654,High
441,NA12003,0.057692,High
442,NA12004,0.076923,High
443,NA12006,0.067308,High
444,NA12043,0.014423,High
445,NA12044,0.033654,High
446,NA12045,0.038462,High
447,NA12046,0.019231,High
448,NA12058,0.057692,High
449,NA12144,0.0625,High
450,NA12154,0.033654,High
451,NA12155,0.033654,High
452,NA12249,0.019231,High
453,NA12272,0.048077,High
454,NA12273,0.048077,High
455,NA12275,0.028846,High
456,NA12282,0.009615,High
457,NA12283,0.043269,High
458,NA12286,0.043269,High
459,NA12287,0.019231,High
460,NA12340,0.038462,High
461,NA12341,0.081731,High
462,NA12342,0.076923,High
463,NA12347,0.028846,High
464,NA12348,0.052885,High
465,NA12383,0.028846,High
466,NA12399,0.038462,High
467,NA12400,0.038462,High
468,NA12413,0.043269,High
469,NA12489,0.057692,High
470,NA12546,0.033654,High
471,NA12716,0.057692,High
472,NA12717,0.038462,High
473,NA12718,0.081731,High
474,NA12748,0.0625,High
475,NA12749,0.0625,High
476,NA12750,0.028846,High
477,NA12751,0.081731,High
478,NA12761,0.0625,High
479,NA12763,0.0625,High
480,NA12775,0.057692,High
481,NA12777,0.067308,High
482,NA12778,0.014423,High
483,NA12812,0.072115,High
484,NA12814,0.081731,High
485,NA12815,0.0625,High
486,NA12827,0.0625,High
487,NA12829,0.004808,High
488,NA12830,0.048077,High
489,NA12842,0.052885,High
490,NA12843,0.067308,High
491,NA12872,0.052885,High
492,NA12873,0.043269,High
493,NA12874,0.076923,High
494,NA12889,0.048077,High
495,NA12890,0.043269,High
496,NA18486,0.028846,Low
497,NA18487,0.014423,Low
498,NA18489,0.028846,Low
499,NA18498,0.038462,Low
500,NA18499,0.038462,Low
501,NA18501,0.0,Low
502,NA18502,0.048077,Low
503,NA18504,0.009615,Low
504,NA18505,0.052885,Low
505,NA18507,0.014423,Low
506,NA18508,0.038462,Low
507,NA18510,0.014423,Low
508,NA18511,0.014423,Low
509,NA18516,0.024038,Low
510,NA18517,0.028846,Low
511,NA18519,0.019231,Low
512,NA18520,0.052885,Low
513,NA18522,0.024038,Low
514,NA18523,0.019231,Low
515,NA18525,0.004808,Low
516,NA18526,0.033654,Low
517,NA18527,0.0625,Low
518,NA18528,0.081731,Low
519,NA18530,0.057692,Low
520,NA18532,0.038462,Low
521,NA18534,0.052885,Low
522,NA18535,0.086538,Low
523,NA18536,0.081731,Low
524,NA18537,0.081731,Low
525,NA18538,0.043269,Low
526,NA18539,0.033654,Low
527,NA18541,0.043269,Low
528,NA18542,0.028846,Low
529,NA18543,0.067308,Low
530,NA18544,0.033654,Low
531,NA18545,0.076923,Low
532,NA18546,0.048077,Low
533,NA18547,0.0,Low
534,NA18548,0.033654,Low
535,NA18549,0.038462,Low
536,NA18550,0.009615,Low
537,NA18552,0.038462,Low
538,NA18553,0.038462,Low
539,NA18555,0.067308,Low
540,NA18557,0.038462,Low
541,NA18558,0.043269,Low
542,NA18559,0.048077,Low
543,NA18560,0.033654,Low
544,NA18561,0.076923,Low
545,NA18562,0.038462,Low
546,NA18563,0.0,Low
547,NA18564,0.067308,Low
548,NA18565,0.028846,Low
549,NA18566,0.038462,Low
550,NA18567,0.072115,Low
551,NA18570,0.043269,Low
552,NA18571,0.081731,Low
553,NA18572,0.043269,Low
554,NA18573,0.033654,Low
555,NA18574,0.0625,Low
556,NA18576,0.033654,Low
557,NA18577,0.033654,Low
558,NA18579,0.076923,Low
559,NA18582,0.0625,Low
560,NA18592,0.043269,Low
561,NA18593,0.0625,Low
562,NA18595,0.067308,Low
563,NA18596,0.072115,Low
564,NA18597,0.033654,Low
565,NA18599,0.033654,Low
566,NA18602,0.019231,Low
567,NA18603,0.024038,Low
568,NA18605,0.038462,Low
569,NA18606,0.076923,Low
570,NA18608,0.0,Low
571,NA18609,0.033654,Low
572,NA18610,0.033654,Low
573,NA18611,0.076923,Low
574,NA18612,0.072115,Low
575,NA18613,0.0,Low
576,NA18614,0.004808,Low
577,NA18615,0.067308,Low
578,NA18616,0.067308,Low
579,NA18617,0.048077,Low
580,NA18618,0.043269,Low
581,NA18619,0.072115,Low
582,NA18620,0.033654,Low
583,NA18621,0.033654,Low
584,NA18622,0.033654,Low
585,NA18623,0.033654,Low
586,NA18624,0.009615,Low
587,NA18626,0.033654,Low
588,NA18627,0.009615,Low
589,NA18628,0.076923,Low
590,NA18630,0.048077,Low
591,NA18631,0.057692,Low
592,NA18632,0.033654,Low
593,NA18633,0.024038,Low
594,NA18634,0.0,Low
595,NA18635,0.038462,Low
596,NA18636,0.072115,Low
597,NA18637,0.086538,Low
598,NA18638,0.057692,Low
599,NA18639,0.076923,Low
600,NA18640,0.0,Low
601,NA18641,0.033654,Low
602,NA18642,0.072115,Low
603,NA18643,0.033654,Low
604,NA18645,0.033654,Low
605,NA18647,0.033654,Low
606,NA18740,0.067308,Low
607,NA18745,0.067308,Low
608,NA18747,0.033654,Low
609,NA18748,0.004808,Low
610,NA18749,0.067308,Low
611,NA18757,0.028846,Low
612,NA18853,0.014423,Low
613,NA18856,0.019231,Low
614,NA18858,0.081731,Low
615,NA18861,0.019231,Low
616,NA18867,0.048077,Low
617,NA18868,0.028846,Low
618,NA18870,0.014423,Low
619,NA18871,0.004808,Low
620,NA18873,0.038462,Low
621,NA18874,0.038462,Low
622,NA18907,0.057692,Low
623,NA18908,0.024038,Low
624,NA18909,0.014423,Low
625,NA18910,0.048077,Low
626,NA18912,0.081731,Low
627,NA18916,0.009615,Low
628,NA18917,0.014423,Low
629,NA18923,0.0,Low
630,NA18924,0.019231,Low
631,NA18933,0.0625,Low
632,NA18934,0.043269,Low
633,NA18939,0.004808,Low
634,NA18940,0.033654,Low
635,NA18941,0.072115,Low
636,NA18942,0.076923,Low
637,NA18943,0.052885,Low
638,NA18944,0.033654,Low
639,NA18945,0.033654,Low
640,NA18946,0.0,Low
641,NA18947,0.048077,Low
642,NA18948,0.0,Low
643,NA18949,0.033654,Low
644,NA18950,0.038462,Low
645,NA18951,0.076923,Low
646,NA18952,0.081731,Low
647,NA18953,0.076923,Low
648,NA18954,0.091346,Low
649,NA18956,0.033654,Low
650,NA18957,0.067308,Low
651,NA18959,0.067308,Low
652,NA18960,0.072115,Low
653,NA18961,0.081731,Low
654,NA18962,0.067308,Low
655,NA18963,0.038462,Low
656,NA18964,0.038462,Low
657,NA18965,0.067308,Low
658,NA18966,0.067308,Low
659,NA18968,0.076923,Low
660,NA18971,0.081731,Low
661,NA18973,0.038462,Low
662,NA18974,0.038462,Low
663,NA18975,0.072115,Low
664,NA18976,0.067308,Low
665,NA18977,0.057692,Low
666,NA18978,0.0625,Low
667,NA18980,0.043269,Low
668,NA18981,0.0,Low
669,NA18982,0.081731,Low
670,NA18983,0.033654,Low
671,NA18984,0.091346,Low
672,NA18985,0.0,Low
673,NA18986,0.057692,Low
674,NA18987,0.076923,Low
675,NA18988,0.076923,Low
676,NA18989,0.086538,Low
677,NA18990,0.043269,Low
678,NA18992,0.076923,Low
679,NA18994,0.067308,Low
680,NA18995,0.076923,Low
681,NA18998,0.0,Low
682,NA18999,0.067308,Low
683,NA19000,0.057692,Low
684,NA19002,0.086538,Low
685,NA19003,0.0,Low
686,NA19004,0.028846,Low
687,NA19005,0.067308,Low
688,NA19007,0.043269,Low
689,NA19009,0.033654,Low
690,NA19010,0.072115,Low
691,NA19012,0.028846,Low
692,NA19020,0.014423,Low
693,NA19028,0.028846,Low
694,NA19035,0.033654,Low
695,NA19036,0.048077,Low
696,NA19038,0.038462,Low
697,NA19041,0.028846,Low
698,NA19044,0.019231,Low
699,NA19046,0.048077,Low
700,NA19054,0.024038,Low
701,NA19055,0.0625,Low
702,NA19056,0.052885,Low
703,NA19057,0.081731,Low
704,NA19058,0.038462,Low
705,NA19059,0.067308,Low
706,NA19060,0.038462,Low
707,NA19062,0.072115,Low
708,NA19063,0.081731,Low
709,NA19064,0.0,Low
710,NA19065,0.043269,Low
711,NA19066,0.038462,Low
712,NA19067,0.072115,Low
713,NA19068,0.033654,Low
714,NA19070,0.033654,Low
715,NA19072,0.072115,Low
716,NA19074,0.004808,Low
717,NA19075,0.048077,Low
718,NA19076,0.024038,Low
719,NA19077,0.048077,Low
720,NA19078,0.067308,Low
721,NA19079,0.096154,Low
722,NA19080,0.091346,Low
723,NA19081,0.057692,Low
724,NA19082,0.028846,Low
725,NA19083,0.033654,Low
726,NA19084,0.0625,Low
727,NA19085,0.048077,Low
728,NA19087,0.048077,Low
729,NA19088,0.086538,Low
730,NA19093,0.024038,Low
731,NA19095,0.057692,Low
732,NA19096,0.038462,Low
733,NA19098,0.0625,Low
734,NA19099,0.019231,Low
735,NA19102,0.048077,Low
736,NA19107,0.052885,Low
737,NA19108,0.019231,Low
738,NA19113,0.081731,Low
739,NA19114,0.014423,Low
740,NA19116,0.024038,Low
741,NA19117,0.0,Low
742,NA19118,0.009615,Low
743,NA19119,0.024038,Low
744,NA19121,0.043269,Low
745,NA19129,0.038462,Low
746,NA19130,0.052885,Low
747,NA19131,0.038462,Low
748,NA19137,0.014423,Low
749,NA19138,0.048077,Low
750,NA19146,0.0,Low
751,NA19147,0.009615,Low
752,NA19149,0.038462,Low
753,NA19150,0.019231,Low
754,NA19152,0.048077,Low
755,NA19160,0.048077,Low
756,NA19171,0.043269,Low
757,NA19172,0.0625,Low
758,NA19175,0.0,Low
759,NA19185,0.033654,Low
760,NA19189,0.028846,Low
761,NA19190,0.048077,Low
762,NA19197,0.028846,Low
763,NA19198,0.0,Low
764,NA19200,0.014423,Low
765,NA19204,0.028846,Low
766,NA19207,0.024038,Low
767,NA19209,0.067308,Low
768,NA19213,0.052885,Low
769,NA19222,0.038462,Low
770,NA19223,0.043269,Low
771,NA19225,0.004808,Low
772,NA19235,0.004808,Low
773,NA19236,0.081731,Low
774,NA19247,0.0625,Low
775,NA19248,0.014423,Low
776,NA19256,0.014423,Low
777,NA19257,0.048077,Low
778,NA19307,0.004808,Low
779,NA19308,0.014423,Low
780,NA19309,0.014423,Low
781,NA19310,0.014423,Low
782,NA19311,0.028846,Low
783,NA19312,0.024038,Low
784,NA19313,0.052885,Low
785,NA19315,0.043269,Low
786,NA19316,0.048077,Low
787,NA19317,0.014423,Low
788,NA19318,0.004808,Low
789,NA19319,0.019231,Low
790,NA19321,0.019231,Low
791,NA19324,0.009615,Low
792,NA19327,0.038462,Low
793,NA19328,0.048077,Low
794,NA19331,0.019231,Low
795,NA19332,0.057692,Low
796,NA19334,0.004808,Low
797,NA19338,0.009615,Low
798,NA19346,0.052885,Low
799,NA19347,0.048077,Low
800,NA19350,0.014423,Low
801,NA19351,0.052885,Low
802,NA19352,0.048077,Low
803,NA19355,0.052885,Low
804,NA19359,0.038462,Low
805,NA19360,0.038462,Low
806,NA19371,0.019231,Low
807,NA19372,0.043269,Low
808,NA19373,0.009615,Low
809,NA19374,0.014423,Low
810,NA19375,0.048077,Low
811,NA19376,0.033654,Low
812,NA19377,0.076923,Low
813,NA19379,0.028846,Low
814,NA19380,0.072115,Low
815,NA19381,0.014423,Low
816,NA19382,0.048077,Low
817,NA19383,0.014423,Low
818,NA19384,0.038462,Low
819,NA19385,0.038462,Low
820,NA19390,0.057692,Low
821,NA19391,0.0625,Low
822,NA19393,0.033654,Low
823,NA19394,0.043269,Low
824,NA19395,0.028846,Low
825,NA19396,0.014423,Low
826,NA19397,0.014423,Low
827,NA19398,0.009615,Low
828,NA19399,0.004808,Low
829,NA19401,0.057692,Low
830,NA19403,0.033654,Low
831,NA19404,0.038462,Low
832,NA19428,0.009615,Low
833,NA19429,0.052885,Low
834,NA19430,0.033654,Low
835,NA19431,0.028846,Low
836,NA19434,0.052885,Low
837,NA19435,0.004808,Low
838,NA19436,0.052885,Low
839,NA19437,0.038462,Low
840,NA19438,0.052885,Low
841,NA19439,0.038462,Low
842,NA19440,0.038462,Low
843,NA19443,0.081731,Low
844,NA19444,0.019231,Low
845,NA19445,0.057692,Low
846,NA19446,0.043269,Low
847,NA19448,0.014423,Low
848,NA19449,0.004808,Low
849,NA19451,0.004808,Low
850,NA19452,0.033654,Low
851,NA19453,0.067308,Low
852,NA19455,0.048077,Low
853,NA19456,0.019231,Low
854,NA19457,0.057692,Low
855,NA19461,0.052885,Low
856,NA19462,0.004808,Low
857,NA19463,0.038462,Low
858,NA19466,0.014423,Low
859,NA19467,0.024038,Low
860,NA19468,0.043269,Low
861,NA19469,0.052885,Low
862,NA19470,0.067308,Low
863,NA19471,0.028846,Low
864,NA19472,0.0,Low
865,NA19473,0.009615,Low
866,NA19474,0.033654,Low
867,NA19625,0.038462,Low
868,NA19648,0.033654,High
869,NA19651,0.033654,High
870,NA19652,0.052885,High
871,NA19654,0.057692,High
872,NA19655,0.004808,High
873,NA19657,0.038462,High
874,NA19660,0.067308,High
875,NA19661,0.004808,High
876,NA19663,0.038462,High
877,NA19664,0.052885,High
878,NA19672,0.067308,High
879,NA19675,0.033654,High
880,NA19676,0.033654,High
881,NA19678,0.004808,High
882,NA19679,0.072115,High
883,NA19681,0.067308,High
884,NA19682,0.057692,High
885,NA19684,0.038462,High
886,NA19685,0.033654,High
887,NA19700,0.0625,Low
888,NA19701,0.014423,Low
889,NA19703,0.028846,Low
890,NA19704,0.009615,Low
891,NA19707,0.043269,Low
892,NA19711,0.038462,Low
893,NA19712,0.043269,Low
894,NA19713,0.043269,Low
895,NA19716,0.033654,High
896,NA19717,0.004808,High
897,NA19719,0.004808,High
898,NA19720,0.038462,High
899,NA19722,0.038462,High
900,NA19723,0.0,High
901,NA19725,0.033654,High
902,NA19726,0.033654,High
903,NA19728,0.033654,High
904,NA19729,0.028846,High
905,NA19731,0.014423,High
906,NA19732,0.0,High
907,NA19734,0.052885,High
908,NA19735,0.038462,High
909,NA19737,0.067308,High
910,NA19738,0.038462,High
911,NA19740,0.009615,High
912,NA19741,0.0,High
913,NA19746,0.004808,High
914,NA19747,0.014423,High
915,NA19749,0.009615,High
916,NA19750,0.038462,High
917,NA19752,0.014423,High
918,NA19753,0.028846,High
919,NA19755,0.0,High
920,NA19756,0.043269,High
921,NA19758,0.052885,High
922,NA19759,0.033654,High
923,NA19761,0.048077,High
924,NA19762,0.043269,High
925,NA19764,0.043269,High
926,NA19770,0.033654,High
927,NA19771,0.033654,High
928,NA19773,0.028846,High
929,NA19774,0.004808,High
930,NA19776,0.038462,High
931,NA19777,0.033654,High
932,NA19779,0.067308,High
933,NA19780,0.038462,High
934,NA19782,0.0,High
935,NA19783,0.019231,High
936,NA19785,0.072115,High
937,NA19786,0.009615,High
938,NA19788,0.033654,High
939,NA19789,0.072115,High
940,NA19794,0.057692,High
941,NA19795,0.038462,High
942,NA19818,0.033654,Low
943,NA19819,0.0625,Low
944,NA19834,0.019231,Low
945,NA19835,0.072115,Low
946,NA19900,0.048077,Low
947,NA19901,0.043269,Low
948,NA19904,0.067308,Low
949,NA19908,0.043269,Low
950,NA19909,0.028846,Low
951,NA19914,0.024038,Low
952,NA19916,0.043269,Low
953,NA19917,0.019231,Low
954,NA19920,0.024038,Low
955,NA19921,0.048077,Low
956,NA19922,0.043269,Low
957,NA19923,0.048077,Low
958,NA19982,0.038462,Low
959,NA19984,0.057692,Low
960,NA19985,0.043269,Low
961,NA20126,0.024038,Low
962,NA20127,0.048077,Low
