,Sample,Allele_frequency,Super_population,Group
356,HG01278,0.107089,AMR,High
357,HG01334,0.047511,EUR,High
358,HG01342,0.065611,AMR,High
359,HG01344,0.035445,AMR,High
360,HG01345,0.079186,AMR,High
361,HG01350,0.015837,AMR,High
362,HG01351,0.030166,AMR,High
363,HG01353,0.104072,AMR,High
364,HG01354,0.064857,AMR,High
365,HG01356,0.078431,AMR,High
366,HG01357,0.096531,AMR,High
367,HG01359,0.061086,AMR,High
368,HG01360,0.083710,AMR,High
369,HG01365,0.074661,AMR,High
370,HG01366,0.099548,AMR,High
371,HG01374,0.062594,AMR,High
372,HG01375,0.035445,AMR,High
373,HG01377,0.024133,AMR,High
374,HG01378,0.037707,AMR,High
375,HG01383,0.042986,AMR,High
376,HG01384,0.094268,AMR,High
377,HG01389,0.045249,AMR,High
378,HG01390,0.078431,AMR,High
379,HG01437,0.116139,AMR,High
380,HG01440,0.033937,AMR,High
381,HG01441,0.056561,AMR,High
382,HG01455,0.085973,AMR,High
383,HG01456,0.065611,AMR,High
384,HG01461,0.065611,AMR,High
385,HG01462,0.040724,AMR,High
386,HG01465,0.073152,AMR,High
387,HG01488,0.060332,AMR,High
388,HG01489,0.059578,AMR,High
389,HG01491,0.087481,AMR,High
390,HG01492,0.036953,AMR,High
391,HG01494,0.067873,AMR,High
392,HG01495,0.044495,AMR,High
393,HG01497,0.096531,AMR,High
394,HG01498,0.079940,AMR,High
395,HG01515,0.080694,EUR,High
396,HG01516,0.048265,EUR,High
397,HG01518,0.068627,EUR,High
398,HG01519,0.109351,EUR,High
399,HG01521,0.104072,EUR,High
400,HG01522,0.086727,EUR,High
401,HG01550,0.086727,AMR,High
402,HG01551,0.061086,AMR,High
403,HG01617,0.101810,EUR,High
404,HG01618,0.069382,EUR,High
405,HG01619,0.053544,EUR,High
406,HG01620,0.090498,EUR,High
407,HG01623,0.089744,EUR,High
408,HG01624,0.085973,EUR,High
409,HG01625,0.079940,EUR,High
410,HG01626,0.107843,EUR,High
411,NA06984,0.111614,EUR,High
412,NA06986,0.057315,EUR,High
413,NA06989,0.110860,EUR,High
414,NA06994,0.052790,EUR,High
415,NA07000,0.082956,EUR,High
416,NA07037,0.056561,EUR,High
417,NA07048,0.081448,EUR,High
418,NA07051,0.091252,EUR,High
419,NA07056,0.041478,EUR,High
420,NA07347,0.100302,EUR,High
421,NA07357,0.108597,EUR,High
422,NA10847,0.048265,EUR,High
423,NA10851,0.088235,EUR,High
424,NA11829,0.072398,EUR,High
425,NA11830,0.082202,EUR,High
426,NA11831,0.057315,EUR,High
427,NA11843,0.100302,EUR,High
428,NA11892,0.093514,EUR,High
429,NA11893,0.053544,EUR,High
430,NA11894,0.070136,EUR,High
431,NA11919,0.085219,EUR,High
432,NA11920,0.091252,EUR,High
433,NA11930,0.072398,EUR,High
434,NA11931,0.104072,EUR,High
435,NA11932,0.061840,EUR,High
436,NA11933,0.049020,EUR,High
437,NA11992,0.072398,EUR,High
438,NA11993,0.108597,EUR,High
439,NA11994,0.078431,EUR,High
440,NA11995,0.079186,EUR,High
441,NA12003,0.109351,EUR,High
442,NA12004,0.076169,EUR,High
443,NA12006,0.091252,EUR,High
444,NA12043,0.039970,EUR,High
445,NA12044,0.081448,EUR,High
446,NA12045,0.042986,EUR,High
447,NA12046,0.050528,EUR,High
448,NA12058,0.095777,EUR,High
449,NA12144,0.099548,EUR,High
450,NA12154,0.073152,EUR,High
451,NA12155,0.062594,EUR,High
452,NA12249,0.058069,EUR,High
453,NA12272,0.093514,EUR,High
454,NA12273,0.056561,EUR,High
455,NA12275,0.064857,EUR,High
456,NA12282,0.041478,EUR,High
457,NA12283,0.097285,EUR,High
458,NA12286,0.065611,EUR,High
459,NA12287,0.036953,EUR,High
460,NA12340,0.039216,EUR,High
461,NA12341,0.088989,EUR,High
462,NA12342,0.092760,EUR,High
463,NA12347,0.061840,EUR,High
464,NA12348,0.070136,EUR,High
465,NA12383,0.036953,EUR,High
466,NA12399,0.055807,EUR,High
467,NA12400,0.056561,EUR,High
468,NA12413,0.084465,EUR,High
469,NA12489,0.085219,EUR,High
470,NA12546,0.072398,EUR,High
471,NA12716,0.099548,EUR,High
472,NA12717,0.079186,EUR,High
473,NA12718,0.105581,EUR,High
474,NA12748,0.104827,EUR,High
475,NA12749,0.073152,EUR,High
476,NA12750,0.069382,EUR,High
477,NA12751,0.088235,EUR,High
478,NA12761,0.088989,EUR,High
479,NA12763,0.106335,EUR,High
480,NA12775,0.064103,EUR,High
481,NA12777,0.082202,EUR,High
482,NA12778,0.071644,EUR,High
483,NA12812,0.098793,EUR,High
484,NA12814,0.083710,EUR,High
485,NA12815,0.084465,EUR,High
486,NA12827,0.079186,EUR,High
487,NA12829,0.046757,EUR,High
488,NA12830,0.071644,EUR,High
489,NA12842,0.070890,EUR,High
490,NA12843,0.098039,EUR,High
491,NA12872,0.090498,EUR,High
492,NA12873,0.064857,EUR,High
493,NA12874,0.093514,EUR,High
494,NA12889,0.075415,EUR,High
495,NA12890,0.081448,EUR,High
496,NA18486,0.076923,AFR,Low
497,NA18487,0.036953,AFR,Low
498,NA18489,0.072398,AFR,Low
499,NA18498,0.087481,AFR,Low
500,NA18499,0.052790,AFR,Low
501,NA18501,0.032428,AFR,Low
502,NA18502,0.086727,AFR,Low
503,NA18504,0.060332,AFR,Low
504,NA18505,0.074661,AFR,Low
505,NA18507,0.035445,AFR,Low
506,NA18508,0.050528,AFR,Low
507,NA18510,0.049020,AFR,Low
508,NA18511,0.062594,AFR,Low
509,NA18516,0.051282,AFR,Low
510,NA18517,0.070136,AFR,Low
511,NA18519,0.067119,AFR,Low
512,NA18520,0.073152,AFR,Low
513,NA18522,0.049020,AFR,Low
514,NA18523,0.052036,AFR,Low
515,NA18525,0.021870,ASN,Low
516,NA18526,0.036953,ASN,Low
517,NA18527,0.102564,ASN,Low
518,NA18528,0.085973,ASN,Low
519,NA18530,0.058069,ASN,Low
520,NA18532,0.058824,ASN,Low
521,NA18534,0.083710,ASN,Low
522,NA18535,0.085973,ASN,Low
523,NA18536,0.099548,ASN,Low
524,NA18537,0.096531,ASN,Low
525,NA18538,0.052790,ASN,Low
526,NA18539,0.060332,ASN,Low
527,NA18541,0.087481,ASN,Low
528,NA18542,0.037707,ASN,Low
529,NA18543,0.092760,ASN,Low
530,NA18544,0.091252,ASN,Low
531,NA18545,0.113122,ASN,Low
532,NA18546,0.058824,ASN,Low
533,NA18547,0.014329,ASN,Low
534,NA18548,0.083710,ASN,Low
535,NA18549,0.077677,ASN,Low
536,NA18550,0.015837,ASN,Low
537,NA18552,0.043741,ASN,Low
538,NA18553,0.053544,ASN,Low
539,NA18555,0.109351,ASN,Low
540,NA18557,0.088989,ASN,Low
541,NA18558,0.070890,ASN,Low
542,NA18559,0.055807,ASN,Low
543,NA18560,0.091252,ASN,Low
544,NA18561,0.100302,ASN,Low
545,NA18562,0.062594,ASN,Low
546,NA18563,0.015083,ASN,Low
547,NA18564,0.090498,ASN,Low
548,NA18565,0.057315,ASN,Low
549,NA18566,0.090498,ASN,Low
550,NA18567,0.085973,ASN,Low
551,NA18570,0.100302,ASN,Low
552,NA18571,0.104827,ASN,Low
553,NA18572,0.053544,ASN,Low
554,NA18573,0.061840,ASN,Low
555,NA18574,0.085973,ASN,Low
556,NA18576,0.062594,ASN,Low
557,NA18577,0.052036,ASN,Low
558,NA18579,0.098039,ASN,Low
559,NA18582,0.081448,ASN,Low
560,NA18592,0.077677,ASN,Low
561,NA18593,0.078431,ASN,Low
562,NA18595,0.100302,ASN,Low
563,NA18596,0.081448,ASN,Low
564,NA18597,0.049020,ASN,Low
565,NA18599,0.053544,ASN,Low
566,NA18602,0.037707,ASN,Low
567,NA18603,0.024887,ASN,Low
568,NA18605,0.061086,ASN,Low
569,NA18606,0.107843,ASN,Low
570,NA18608,0.013575,ASN,Low
571,NA18609,0.058069,ASN,Low
572,NA18610,0.060332,ASN,Low
573,NA18611,0.101810,ASN,Low
574,NA18612,0.070890,ASN,Low
575,NA18613,0.029412,ASN,Low
576,NA18614,0.034691,ASN,Low
577,NA18615,0.099548,ASN,Low
578,NA18616,0.104827,ASN,Low
579,NA18617,0.063348,ASN,Low
580,NA18618,0.061840,ASN,Low
581,NA18619,0.111614,ASN,Low
582,NA18620,0.059578,ASN,Low
583,NA18621,0.060332,ASN,Low
584,NA18622,0.067119,ASN,Low
585,NA18623,0.041478,ASN,Low
586,NA18624,0.060332,ASN,Low
587,NA18626,0.075415,ASN,Low
588,NA18627,0.044495,ASN,Low
589,NA18628,0.089744,ASN,Low
590,NA18630,0.036199,ASN,Low
591,NA18631,0.058069,ASN,Low
592,NA18632,0.033937,ASN,Low
593,NA18633,0.070136,ASN,Low
594,NA18634,0.035445,ASN,Low
595,NA18635,0.059578,ASN,Low
596,NA18636,0.093514,ASN,Low
597,NA18637,0.094268,ASN,Low
598,NA18638,0.078431,ASN,Low
599,NA18639,0.086727,ASN,Low
600,NA18640,0.020362,ASN,Low
601,NA18641,0.041478,ASN,Low
602,NA18642,0.107089,ASN,Low
603,NA18643,0.068627,ASN,Low
604,NA18645,0.054299,ASN,Low
605,NA18647,0.088235,ASN,Low
606,NA18740,0.089744,ASN,Low
607,NA18745,0.086727,ASN,Low
608,NA18747,0.052036,ASN,Low
609,NA18748,0.039216,ASN,Low
610,NA18749,0.079940,ASN,Low
611,NA18757,0.049020,ASN,Low
612,NA18853,0.061840,AFR,Low
613,NA18856,0.080694,AFR,Low
614,NA18858,0.080694,AFR,Low
615,NA18861,0.051282,AFR,Low
616,NA18867,0.085219,AFR,Low
617,NA18868,0.067119,AFR,Low
618,NA18870,0.061086,AFR,Low
619,NA18871,0.061840,AFR,Low
620,NA18873,0.061840,AFR,Low
621,NA18874,0.066365,AFR,Low
622,NA18907,0.091252,AFR,Low
623,NA18908,0.042986,AFR,Low
624,NA18909,0.059578,AFR,Low
625,NA18910,0.067119,AFR,Low
626,NA18912,0.086727,AFR,Low
627,NA18916,0.027149,AFR,Low
628,NA18917,0.047511,AFR,Low
629,NA18923,0.026395,AFR,Low
630,NA18924,0.079940,AFR,Low
631,NA18933,0.082956,AFR,Low
632,NA18934,0.067873,AFR,Low
633,NA18939,0.044495,ASN,Low
634,NA18940,0.049020,ASN,Low
635,NA18941,0.089744,ASN,Low
636,NA18942,0.094268,ASN,Low
637,NA18943,0.057315,ASN,Low
638,NA18944,0.046757,ASN,Low
639,NA18945,0.061840,ASN,Low
640,NA18946,0.014329,ASN,Low
641,NA18947,0.052790,ASN,Low
642,NA18948,0.044495,ASN,Low
643,NA18949,0.092006,ASN,Low
644,NA18950,0.062594,ASN,Low
645,NA18951,0.101810,ASN,Low
646,NA18952,0.091252,ASN,Low
647,NA18953,0.070890,ASN,Low
648,NA18954,0.093514,ASN,Low
649,NA18956,0.094268,ASN,Low
650,NA18957,0.092760,ASN,Low
651,NA18959,0.112368,ASN,Low
652,NA18960,0.094268,ASN,Low
653,NA18961,0.102564,ASN,Low
654,NA18962,0.088235,ASN,Low
655,NA18963,0.093514,ASN,Low
656,NA18964,0.087481,ASN,Low
657,NA18965,0.082202,ASN,Low
658,NA18966,0.113122,ASN,Low
659,NA18968,0.086727,ASN,Low
660,NA18971,0.074661,ASN,Low
661,NA18973,0.093514,ASN,Low
662,NA18974,0.068627,ASN,Low
663,NA18975,0.081448,ASN,Low
664,NA18976,0.098039,ASN,Low
665,NA18977,0.070136,ASN,Low
666,NA18978,0.110860,ASN,Low
667,NA18980,0.052790,ASN,Low
668,NA18981,0.012821,ASN,Low
669,NA18982,0.101056,ASN,Low
670,NA18983,0.056561,ASN,Low
671,NA18984,0.108597,ASN,Low
672,NA18985,0.012821,ASN,Low
673,NA18986,0.062594,ASN,Low
674,NA18987,0.113876,ASN,Low
675,NA18988,0.088235,ASN,Low
676,NA18989,0.107843,ASN,Low
677,NA18990,0.054299,ASN,Low
678,NA18992,0.100302,ASN,Low
679,NA18994,0.080694,ASN,Low
680,NA18995,0.097285,ASN,Low
681,NA18998,0.014329,ASN,Low
682,NA18999,0.105581,ASN,Low
683,NA19000,0.080694,ASN,Low
684,NA19002,0.092006,ASN,Low
685,NA19003,0.075415,ASN,Low
686,NA19004,0.032428,ASN,Low
687,NA19005,0.111614,ASN,Low
688,NA19007,0.052790,ASN,Low
689,NA19009,0.059578,ASN,Low
690,NA19010,0.109351,ASN,Low
691,NA19012,0.027903,ASN,Low
692,NA19020,0.039216,AFR,Low
693,NA19028,0.067119,AFR,Low
694,NA19035,0.070136,AFR,Low
695,NA19036,0.056561,AFR,Low
696,NA19038,0.096531,AFR,Low
697,NA19041,0.059578,AFR,Low
698,NA19044,0.071644,AFR,Low
699,NA19046,0.064103,AFR,Low
700,NA19054,0.036199,ASN,Low
701,NA19055,0.067119,ASN,Low
702,NA19056,0.090498,ASN,Low
703,NA19057,0.099548,ASN,Low
704,NA19058,0.061840,ASN,Low
705,NA19059,0.094268,ASN,Low
706,NA19060,0.063348,ASN,Low
707,NA19062,0.113876,ASN,Low
708,NA19063,0.073152,ASN,Low
709,NA19064,0.012821,ASN,Low
710,NA19065,0.035445,ASN,Low
711,NA19066,0.062594,ASN,Low
712,NA19067,0.066365,ASN,Low
713,NA19068,0.060332,ASN,Low
714,NA19070,0.084465,ASN,Low
715,NA19072,0.110860,ASN,Low
716,NA19074,0.027903,ASN,Low
717,NA19075,0.054299,ASN,Low
718,NA19076,0.021116,ASN,Low
719,NA19077,0.062594,ASN,Low
720,NA19078,0.092006,ASN,Low
721,NA19079,0.093514,ASN,Low
722,NA19080,0.093514,ASN,Low
723,NA19081,0.089744,ASN,Low
724,NA19082,0.024887,ASN,Low
725,NA19083,0.061086,ASN,Low
726,NA19084,0.104827,ASN,Low
727,NA19085,0.073152,ASN,Low
728,NA19087,0.053544,ASN,Low
729,NA19088,0.092006,ASN,Low
730,NA19093,0.057315,AFR,Low
731,NA19095,0.072398,AFR,Low
732,NA19096,0.060332,AFR,Low
733,NA19098,0.061086,AFR,Low
734,NA19099,0.064857,AFR,Low
735,NA19102,0.070890,AFR,Low
736,NA19107,0.083710,AFR,Low
737,NA19108,0.064103,AFR,Low
738,NA19113,0.080694,AFR,Low
739,NA19114,0.056561,AFR,Low
740,NA19116,0.039216,AFR,Low
741,NA19117,0.034691,AFR,Low
742,NA19118,0.047511,AFR,Low
743,NA19119,0.060332,AFR,Low
744,NA19121,0.107089,AFR,Low
745,NA19129,0.070890,AFR,Low
746,NA19130,0.088235,AFR,Low
