,Sample,Allele_frequency,Super_population,Group
916,NA19750,0.073152,AMR,High
917,NA19752,0.030920,AMR,High
918,NA19753,0.066365,AMR,High
919,NA19755,0.015837,AMR,High
920,NA19756,0.046003,AMR,High
921,NA19758,0.071644,AMR,High
922,NA19759,0.058824,AMR,High
923,NA19761,0.102564,AMR,High
924,NA19762,0.058069,AMR,High
925,NA19764,0.054299,AMR,High
926,NA19770,0.058069,AMR,High
927,NA19771,0.090498,AMR,High
928,NA19773,0.064103,AMR,High
929,NA19774,0.012066,AMR,High
930,NA19776,0.050528,AMR,High
931,NA19777,0.079940,AMR,High
932,NA19779,0.077677,AMR,High
933,NA19780,0.066365,AMR,High
934,NA19782,0.012821,AMR,High
935,NA19783,0.032428,AMR,High
936,NA19785,0.061840,AMR,High
937,NA19786,0.042986,AMR,High
938,NA19788,0.042232,AMR,High
939,NA19789,0.076923,AMR,High
940,NA19794,0.107089,AMR,High
941,NA19795,0.061840,AMR,High
942,NA19818,0.089744,AFR,Low
943,NA19819,0.088235,AFR,Low
944,NA19834,0.048265,AFR,Low
945,NA19835,0.095023,AFR,Low
946,NA19900,0.084465,AFR,Low
947,NA19901,0.081448,AFR,Low
948,NA19904,0.081448,AFR,Low
949,NA19908,0.068627,AFR,Low
950,NA19909,0.070890,AFR,Low
951,NA19914,0.054299,AFR,Low
952,NA19916,0.073152,AFR,Low
953,NA19917,0.068627,AFR,Low
954,NA19920,0.060332,AFR,Low
955,NA19921,0.079186,AFR,Low
956,NA19922,0.092006,AFR,Low
957,NA19923,0.085219,AFR,Low
958,NA19982,0.064857,AFR,Low
959,NA19984,0.083710,AFR,Low
960,NA19985,0.095023,AFR,Low
961,NA20126,0.064103,AFR,Low
962,NA20127,0.078431,AFR,Low
963,NA20276,0.030166,AFR,Low
964,NA20278,0.060332,AFR,Low
965,NA20281,0.040724,AFR,Low
966,NA20282,0.046757,AFR,Low
967,NA20287,0.054299,AFR,Low
968,NA20289,0.070890,AFR,Low
969,NA20291,0.084465,AFR,Low
970,NA20294,0.080694,AFR,Low
971,NA20296,0.101056,AFR,Low
972,NA20298,0.073906,AFR,Low
973,NA20299,0.049020,AFR,Low
974,NA20314,0.050528,AFR,Low
975,NA20317,0.076923,AFR,Low
976,NA20322,0.062594,AFR,Low
977,NA20332,0.070890,AFR,Low
978,NA20334,0.107843,AFR,Low
979,NA20336,0.071644,AFR,Low
980,NA20339,0.070136,AFR,Low
981,NA20340,0.067119,AFR,Low
982,NA20341,0.095777,AFR,Low
983,NA20342,0.089744,AFR,Low
984,NA20344,0.092006,AFR,Low
985,NA20346,0.104827,AFR,Low
986,NA20348,0.038462,AFR,Low
987,NA20351,0.090498,AFR,Low
988,NA20356,0.056561,AFR,Low
989,NA20357,0.079940,AFR,Low
990,NA20359,0.092760,AFR,Low
991,NA20363,0.079940,AFR,Low
992,NA20412,0.065611,AFR,Low
993,NA20414,0.012066,AFR,Low
994,NA20502,0.102564,EUR,High
995,NA20503,0.052790,EUR,High
996,NA20504,0.078431,EUR,High
997,NA20505,0.072398,EUR,High
998,NA20506,0.086727,EUR,High
999,NA20507,0.082202,EUR,High
1000,NA20508,0.084465,EUR,High
1001,NA20509,0.041478,EUR,High
1002,NA20510,0.079186,EUR,High
1003,NA20512,0.060332,EUR,High
1004,NA20513,0.058824,EUR,High
1005,NA20515,0.037707,EUR,High
1006,NA20516,0.061086,EUR,High
1007,NA20517,0.053544,EUR,High
1008,NA20518,0.043741,EUR,High
1009,NA20519,0.076169,EUR,High
1010,NA20520,0.048265,EUR,High
1011,NA20521,0.064103,EUR,High
1012,NA20522,0.082956,EUR,High
1013,NA20524,0.088989,EUR,High
1014,NA20525,0.061086,EUR,High
1015,NA20527,0.076169,EUR,High
1016,NA20528,0.067873,EUR,High
1017,NA20529,0.061840,EUR,High
1018,NA20530,0.013575,EUR,High
1019,NA20531,0.096531,EUR,High
1020,NA20532,0.070136,EUR,High
1021,NA20533,0.061086,EUR,High
1022,NA20534,0.085973,EUR,High
1023,NA20535,0.079186,EUR,High
1024,NA20536,0.079940,EUR,High
1025,NA20537,0.082956,EUR,High
1026,NA20538,0.086727,EUR,High
1027,NA20539,0.065611,EUR,High
1028,NA20540,0.049774,EUR,High
1029,NA20541,0.106335,EUR,High
1030,NA20542,0.090498,EUR,High
1031,NA20543,0.076923,EUR,High
1032,NA20544,0.081448,EUR,High
1033,NA20581,0.090498,EUR,High
1034,NA20582,0.088989,EUR,High
1035,NA20585,0.075415,EUR,High
1036,NA20586,0.058824,EUR,High
1037,NA20588,0.092006,EUR,High
1038,NA20589,0.086727,EUR,High
1039,NA20752,0.088989,EUR,High
1040,NA20753,0.051282,EUR,High
1041,NA20754,0.088989,EUR,High
1042,NA20755,0.078431,EUR,High
1043,NA20756,0.094268,EUR,High
1044,NA20757,0.073906,EUR,High
1045,NA20758,0.061086,EUR,High
1046,NA20759,0.069382,EUR,High
1047,NA20760,0.076169,EUR,High
1048,NA20761,0.053544,EUR,High
1049,NA20765,0.095777,EUR,High
1050,NA20766,0.060332,EUR,High
1051,NA20768,0.092760,EUR,High
1052,NA20769,0.097285,EUR,High
1053,NA20770,0.058824,EUR,High
1054,NA20771,0.052036,EUR,High
1055,NA20772,0.064103,EUR,High
1056,NA20773,0.085219,EUR,High
1057,NA20774,0.049774,EUR,High
1058,NA20775,0.055053,EUR,High
1059,NA20778,0.053544,EUR,High
1060,NA20783,0.052790,EUR,High
1061,NA20785,0.059578,EUR,High
1062,NA20786,0.077677,EUR,High
1063,NA20787,0.047511,EUR,High
1064,NA20790,0.067873,EUR,High
1065,NA20792,0.082202,EUR,High
1066,NA20795,0.100302,EUR,High
1067,NA20796,0.085973,EUR,High
1068,NA20797,0.049774,EUR,High
1069,NA20798,0.112368,EUR,High
1070,NA20799,0.088235,EUR,High
1071,NA20800,0.106335,EUR,High
1072,NA20801,0.061840,EUR,High
1073,NA20802,0.047511,EUR,High
1074,NA20803,0.089744,EUR,High
1075,NA20804,0.036953,EUR,High
